date,total,Keelung,Taipei,New_Taipei,Taoyuan,Hsinchu,Hsinchu_C,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Chiayi_C,Tainan,Kaohsiung,Pingtung,Yilan,Hualien,Taitung,Penghu,Kinmen,Matsu,total_avg,Keelung_avg,Taipei_avg,New_Taipei_avg,Taoyuan_avg,Hsinchu_avg,Hsinchu_C_avg,Miaoli_avg,Taichung_avg,Changhua_avg,Nantou_avg,Yunlin_avg,Chiayi_avg,Chiayi_C_avg,Tainan_avg,Kaohsiung_avg,Pingtung_avg,Yilan_avg,Hualien_avg,Taitung_avg,Penghu_avg,Kinmen_avg,Matsu_avg
2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4286,0.0,0.2857,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-02,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5714,0.0,0.4286,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-03,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5714,0.0,0.4286,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-04,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.1429,0.4286,0.0,0.4286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-05,5,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7143,0.1429,0.5714,0.1429,0.8571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.1429,0.2857,0.1429,1.4286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-07,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2857,0.1429,0.2857,0.2857,1.5714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-08,7,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2857,0.1429,0.4286,0.2857,2.4286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-09,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1429,0.1429,0.2857,0.2857,3.4286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-10,8,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1429,0.1429,0.4286,0.2857,4.2857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-11,8,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8571,0.0,0.5714,0.5714,4.7143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-12,13,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.0,0.4286,0.5714,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-13,9,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7143,0.0,0.4286,0.7143,6.5714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-14,7,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4286,0.0,0.5714,0.5714,7.2857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-15,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4286,0.0,0.4286,0.5714,7.4286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-16,17,0,1,2,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8571,0.0,0.5714,0.8571,8.1429,0.2857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-17,7,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7143,0.1429,0.4286,0.8571,8.0,0.2857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-18,19,0,0,1,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2857,0.1429,0.2857,0.7143,9.1429,0.2857,0.7143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-19,12,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1429,0.1429,0.2857,0.7143,9.0,0.2857,0.7143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-20,14,0,2,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,11.8571,0.1429,0.5714,0.5714,8.8571,0.2857,0.7143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-21,63,0,1,1,48,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,19.8571,0.1429,0.5714,0.7143,14.8571,0.2857,0.7143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-22,49,0,2,1,26,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,25.8571,0.1429,0.8571,0.8571,17.5714,0.2857,0.7143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-23,37,0,2,0,23,3,1,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,28.7143,0.1429,1.0,0.5714,19.1429,0.4286,0.8571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1429,0.0,0.4286,0.0,0.0,0.0,0.0,0.0
2022-01-24,18,0,0,1,7,0,0,0,0,0,0,0,0,0,1,7,0,2,0,0,0,0,0,30.2857,0.0,1.0,0.7143,19.2857,0.4286,0.8571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,7.1429,0.0,0.7143,0.0,0.0,0.0,0.0,0.0
2022-01-25,33,0,2,2,16,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,32.2857,0.0,1.2857,0.8571,19.7143,0.4286,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4286,8.7143,0.0,0.7143,0.0,0.0,0.0,0.0,0.0
2022-01-26,32,0,1,1,24,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,35.1429,0.0,1.4286,0.8571,21.5714,0.4286,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4286,9.5714,0.0,0.7143,0.0,0.0,0.0,0.0,0.0
2022-01-27,28,0,5,1,11,0,0,0,2,0,0,0,0,0,1,8,0,0,0,0,0,0,0,37.1429,0.0,1.8571,1.0,22.1429,0.4286,0.1429,0.0,0.2857,0.0,0.0,0.0,0.0,0.0,0.5714,10.0,0.0,0.7143,0.0,0.0,0.0,0.0,0.0
2022-01-28,19,0,1,0,10,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,30.8571,0.0,1.8571,0.8571,16.7143,0.4286,0.1429,0.0,0.2857,0.0,0.0,0.0,0.0,0.0,0.5714,9.1429,0.0,0.8571,0.0,0.0,0.0,0.0,0.0
2022-01-29,16,0,0,1,9,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,26.1429,0.0,1.5714,0.8571,14.2857,0.4286,0.1429,0.0,0.2857,0.0,0.0,0.0,0.0,0.0,0.5714,7.0,0.1429,0.8571,0.0,0.0,0.0,0.0,0.0
