date,total,Keelung,Taipei,New_Taipei,Taoyuan,Hsinchu,Hsinchu_C,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Chiayi_C,Tainan,Kaohsiung,Pingtung,Yilan,Hualien,Taitung,Penghu,Kinmen,Matsu,total_avg,Keelung_avg,Taipei_avg,New_Taipei_avg,Taoyuan_avg,Hsinchu_avg,Hsinchu_C_avg,Miaoli_avg,Taichung_avg,Changhua_avg,Nantou_avg,Yunlin_avg,Chiayi_avg,Chiayi_C_avg,Tainan_avg,Kaohsiung_avg,Pingtung_avg,Yilan_avg,Hualien_avg,Taitung_avg,Penghu_avg,Kinmen_avg,Matsu_avg
2022-07-23,21432,324,1981,4009,2253,666,517,542,2657,968,350,524,423,236,1699,2354,564,546,375,208,75,142,19,23364.5714,352.2857,2255.5714,4132.5714,2428.4286,678.5714,546.5714,608.4286,2967.5714,1060.4286,417.4286,596.8571,461.8571,273.1429,1710.2857,2620.7143,677.1429,570.5714,450.8571,277.1429,113.2857,141.0,23.8571
2022-07-24,16908,230,1565,3130,1839,504,331,472,2090,794,327,407,326,170,1331,1907,434,364,309,159,110,93,16,23277.1429,351.2857,2257.7143,4147.2857,2418.7143,670.1429,537.4286,607.5714,2944.2857,1051.1429,415.8571,588.8571,460.5714,264.5714,1720.8571,2601.2857,671.2857,566.2857,449.8571,271.7143,115.8571,141.7143,22.8571
2022-07-25,24752,381,2303,4176,2223,603,490,722,3146,1211,469,739,552,346,1927,2804,791,641,544,300,135,234,15,22994.0,346.1429,2203.2857,4090.1429,2384.7143,652.1429,527.8571,615.7143,2902.8571,1047.5714,410.5714,585.2857,459.4286,265.8571,1739.1429,2552.8571,655.1429,558.4286,449.5714,266.4286,116.0,142.8571,22.0
2022-07-26,25485,357,2367,4717,2668,723,608,732,3199,1160,420,601,487,312,1974,2855,704,601,463,272,139,118,8,22793.4286,338.1429,2164.7143,4084.8571,2336.2857,643.7143,522.7143,613.7143,2870.7143,1043.4286,409.2857,575.2857,456.4286,268.4286,1756.2857,2544.8571,647.4286,551.0,436.8571,254.8571,117.8571,137.8571,18.7143
2022-07-27,23783,438,2305,4349,2402,713,563,704,2972,1066,444,576,423,262,1835,2507,643,521,457,266,144,172,21,22637.8571,345.0,2131.4286,4063.5714,2320.2857,645.0,518.8571,624.7143,2841.5714,1037.7143,409.2857,568.7143,442.2857,270.2857,1746.2857,2511.0,639.0,549.0,443.1429,248.5714,117.7143,145.7143,18.7143
2022-07-28,22933,325,2089,4223,2408,688,556,620,2729,1088,363,612,434,301,1843,2476,667,508,454,263,123,152,11,22516.2857,341.5714,2105.8571,4058.4286,2299.7143,648.1429,516.8571,623.2857,2818.4286,1045.7143,398.7143,575.4286,440.8571,272.1429,1748.8571,2480.4286,636.7143,537.5714,438.5714,245.4286,119.5714,147.1429,16.8571
2022-07-29,21232,306,1862,3924,2174,610,571,598,2782,1031,319,518,346,231,1664,2316,563,424,427,273,150,125,18,22360.7143,337.2857,2067.4286,4075.4286,2281.0,643.8571,519.4286,627.1429,2796.4286,1045.4286,384.5714,568.1429,427.2857,265.4286,1753.2857,2459.8571,623.7143,515.0,432.7143,248.7143,125.1429,148.0,15.4286
2022-07-30,20801,334,1900,3829,2268,646,518,540,2619,979,365,481,412,265,1580,2141,580,407,398,252,146,130,11,22270.5714,338.7143,2055.8571,4049.7143,2283.1429,641.0,519.5714,626.8571,2791.0,1047.0,386.7143,562.0,425.7143,269.5714,1736.2857,2429.4286,626.0,495.1429,436.0,255.0,135.2857,146.2857,14.2857
2022-07-31,16336,245,1452,2970,1841,501,382,539,2013,710,322,424,321,196,1252,1760,398,356,297,172,103,72,10,22188.8571,340.8571,2039.7143,4026.8571,2283.4286,640.5714,526.8571,636.4286,2780.0,1035.0,386.0,564.4286,425.0,273.2857,1725.0,2408.4286,620.8571,494.0,434.2857,256.8571,134.2857,143.2857,13.4286
2022-08-01,23263,334,2102,4092,2061,670,482,711,2993,1140,410,682,463,333,1986,2591,711,455,424,296,134,177,16,21976.1429,334.1429,2011.0,4014.8571,2260.2857,650.1429,525.7143,634.8571,2758.1429,1024.8571,377.5714,556.2857,412.2857,271.4286,1733.4286,2378.0,609.4286,467.4286,417.1429,256.2857,134.1429,135.1429,13.5714
2022-08-02,23695,402,2245,4564,2574,737,646,686,3016,936,409,582,430,311,1849,2358,593,510,353,245,122,116,11,21720.4286,340.5714,1993.5714,3993.0,2246.8571,652.1429,531.1429,628.2857,2732.0,992.8571,376.0,553.5714,404.1429,271.2857,1715.5714,2307.0,593.5714,454.4286,401.4286,252.4286,131.7143,134.8571,14.0
